,Name,Country,MMSI,Type,Size,DWT,Year,Area
227,DUGI OTOK,Croatia,238250000,Crude Oil Tanker,10374,108414,2008,Baltic Sea
228,BERLIN,Germany,211727510,Ro-Ro/Passenger Ship,4590,5000,2014,Baltic Sea
229,GRAND BANKS,Namibia,659254000,Mining Vessel,2440,6648,1972,South Atlantic Ocean
230,PETRA I,Panama,354669000,Bulk Carrier,5490,42263,1991,Black Sea
231,STOLT SHEARWATER,Cayman Is,319402000,Oil/Chemical Tanker,1536,5498,1998,North Sea
232,MERRY STAR,St Kitts Nevis,341104000,Container Ship,1802,5918,1996,Persian Gulf
233,KING M,Panama,374560000,General Cargo,5096,32809,2012,Aegean Sea
234,KIKKI C,Portugal,255806480,General Cargo,1590,6750,2011,North Atlantic Ocean
235,DUTCH POWER,Netherlands,246607000,Tug,300,130,2009,Baltic Sea
236,CAPE EAGLE,Liberia,636017448,Bulk Carrier,13140,181529,2012,Aegean Sea
237,MEDKON IZMIR,Panama,374818000,General Cargo,2020,8973,1995,Aegean Sea
238,CONTSHIP FUN,Liberia,636019053,Container Ship,3058,11836,2006,Sea of Marmara
239,GLAREA,Denmark,219244000,Suction Dredger,1148,2266,1971,North Sea
240,MELODY,St Vincent Grenadines,376819000,General Cargo,1330,3658,1985,Baltic Sea
241,SVITZER THOR,Denmark,219015425,Tug,429,438,2011,Kattegat
242,ORATUULIA,Portugal,255806230,Oil/Chemical Tanker,1712,6090,2008,Baltic Sea
243,SARAH-B,Germany,218836000,General Cargo,891,2300,1995,Kattegat
244,SEA SHANNON,Netherlands,245334000,General Cargo,996,2268,1998,North Sea
245,GLOVER,Singapore,566103000,Oil Products Tanker,2124,7000,2011,Singapore Strait
246,FELLOWSHIP,Singapore,565744000,Oil Products Tanker,1782,7000,2008,Singapore Strait
247,VIRONO PRIDE,Liberia,636021245,Bulk Carrier,6080,58761,2009,North Sea
248,ROSI,Portugal,255805952,General Cargo,1157,3850,2010,Aegean Sea
249,SP IVORY,USA,367331110,Tug,448,629,2008,Gulf of Mexico
250,BLUE STAR DELOS,Greece,241087000,Ro-Ro/Passenger Ship,3480,2775,2011,Aegean Sea
251,CELSIUS PALERMO,Marshall Is,538008065,Oil Products Tanker,6138,53540,2010,English Channel
252,STI COMANDANTE,Marshall Is,538005397,Oil/Chemical Tanker,4968,37000,2014,Skaggerak
253,KAPITAN SULIMOV,Russia,273435580,Factory Trawler,1680,1810,1994,Barentsz Sea
254,KAAN DEVAL,Panama,372103000,Bulk Carrier,2040,7386,2008,Mediterranean Sea - Eastern Basin
255,LUNA E,Greenland,331999008,Fishing Vessel,315,500,2006,Kattegat
256,ATHLOS,Greece,240317300,General Cargo,1053,1976,1985,Aegean Sea
257,SAKIZAYA BRAVE,Panama,351170000,Bulk Carrier,7200,74940,2013,Mediterranean Sea - Eastern Basin
258,ERIC HAMMANN,Germany,218715000,General Cargo,708,1323,1991,Baltic Sea
259,KEY MARMARA,Malta,248891000,Oil/Chemical Tanker,1802,5825,2003,Kattegat
260,HEIMDAL R,Netherlands,244060659,Offshore Supply Ship,1596,3974,1997,Baltic Sea
261,ELBTRADER,Cyprus,212937000,Container Ship,3058,11000,2008,North Sea
262,MSC ELKE F,Cyprus,210731000,Container Ship,3080,11023,2005,Baltic Sea
263,HACI RUSTU K,Turkey,271002018,General Cargo,1040,2970,1987,Sea of Marmara
264,ARKLOW FALCON,Ireland,250002033,General Cargo,1350,4480,2010,Bay of Biscay
265,ERHAN,Malta,229164000,Bulk Carrier,5400,35176,2013,Aegean Sea
266,QUEEN B II,Cyprus,210296000,Container Ship,2527,8512,2009,Gulf of Mexico
267,CMA  CGM  GALICIA,Malta,229595000,Container Ship,3648,13172,2007,North Sea
268,TORM VOYAGER,Denmark,219028425,Oil/Chemical Tanker,5856,46026,2008,North Atlantic Ocean
269,LISTERLAND,Faroe Is,231026000,General Cargo,1170,4267,1994,Baltic Sea
270,MSC CAROUGE,Portugal,255805617,Container Ship,11320,47350,2007,English Channel
271,PACIFIC HONOUR,Singapore,566530000,Oil Products Tanker,1440,4785,2013,Singapore Strait
272,RED FALCON,United Kingdom,235014365,Ro-Ro/Passenger Ship,1692,766,1994,English Channel
273,MICHELANGELO TRADER,Malta,248893000,General Cargo,3234,12890,2004,Caribbean Sea
274,GLOMAR VANTAGE,Panama,372867000,Research/Survey Vessel,672,1250,1982,Baltic Sea
275,MOL ENDOWMENT,Panama,371836000,Container Ship,9408,62949,2007,Singapore Strait
276,CAPE FRIENDSHIP,Marshall Is,538006665,Bulk Carrier,13630,185879,2005,Mediterranean Sea - Eastern Basin
277,BERING,Russia,273290530,Offshore Supply Ship,1440,4115,1996,Japan Sea
278,DUBLIN SWIFT,Cyprus,209192000,Ro-Ro/Passenger Ship,2828,750,2001,Irish Sea and St. George's Channel
279,STENA JUTLANDICA,Sweden,265410000,Ro-Ro/Passenger Ship,6039,6559,1996,Kattegat
280,FINJA,Germany,211333700,Oil/Chemical Tanker,816,1335,2000,North Sea
281,OMSKIY-140,Russia,273315800,General Cargo,1635,3070,1989,Baltic Sea
282,BELLA II,Marshall Is,538071319,Yacht,440,1,2008,Tyrrhenian Sea
283,ALEGRE III,Marshall Is,538007717,Bulk Carrier,6048,55808,2007,The Coastal Waters of Southeast Alaska and British Columbia
284,STAR N,Panama,371982000,Oil/Chemical Tanker,4968,37836,2009,North Atlantic Ocean
285,KARMSUND,Denmark,219023116,Pallet Carrier,1260,2020,1979,Baltic Sea
286,COSMO,Italy,247079700,Oil/Chemical Tanker,1700,5885,2003,North Sea
287,ROZA A,Turkey,271001057,Container Ship,4536,19325,1997,Aegean Sea
288,STENA BRITANNICA,United Kingdom,235080274,Ro-Ro/Passenger Ship,7680,11600,2010,North Sea
289,ENERGETIC,Singapore,566007000,Oil Products Tanker,1615,6500,2011,Singapore Strait
290,AGATA,Italy,247052600,Ro-Ro/Passenger Ship,1168,1088,1973,Tyrrhenian Sea
291,GRAND BANKS,Namibia,659254000,Mining Vessel,2440,6648,1972,South Atlantic Ocean
292,EAST,Estonia,276854000,Oil Products Tanker,1027,2774,1992,Gulf of Finland
293,SARDIUS,Netherlands,246798000,General Cargo,1188,5265,2011,Gulf of Finland
294,PRINS RICHARD,Denmark,219000429,Ro-Ro/Passenger Ship,3692,2490,1997,Baltic Sea
295,W KYRENIA,Marshall Is,538009126,Container Ship,12900,88669,2001,North Sea
296,BRYANSTON,Marshall Is,538008380,Crude Oil Tanker,10248,105784,2005,North Atlantic Ocean
297,PUSAKA PRIMA,Malaysia,533130716,Asphalt/Bitumen Tanker,1908,4147,1996,Singapore Strait
298,DORADO 2,Latvia,275492000,Factory Trawler,938,1241,1989,Skaggerak
299,MAZARINE,Malta,249673000,Ro-Ro Cargo,5096,14552,2009,North Sea
300,FOUR BUTTERFLY,Malta,248505000,Bulk Carrier,5430,34423,2011,North Sea
301,ZEFYROS,Greece,240485000,Oil Products Tanker,1001,1999,2006,Aegean Sea
